2026-07-16 19:29:28 | INFO     | SAPIncidentRAG | Starting data cleaning...
2026-07-16 19:29:28 | INFO     | SAPIncidentRAG | Data cleaning completed.
2026-07-16 19:29:28 | INFO     | SAPIncidentRAG | Building LangChain Documents...
2026-07-16 19:29:28 | INFO     | SAPIncidentRAG | 250 Documents Created
2026-07-16 19:29:28 | INFO     | SAPIncidentRAG | Starting document chunking...
2026-07-16 19:29:28 | INFO     | SAPIncidentRAG | Chunking completed. 250 chunks created.
2026-07-16 19:29:28 | INFO     | SAPIncidentRAG | Creating Chroma Vector Store...
2026-07-16 19:29:31 | INFO     | SAPIncidentRAG | Batch 1/10 completed.
2026-07-16 19:29:33 | INFO     | SAPIncidentRAG | Batch 26-50 inserted successfully.
2026-07-16 19:29:35 | INFO     | SAPIncidentRAG | Batch 51-75 inserted successfully.
2026-07-16 19:29:37 | INFO     | SAPIncidentRAG | Batch 76-100 inserted successfully.
2026-07-16 19:39:21 | INFO     | SAPIncidentRAG | Initializing Gemini Embedding Model...
2026-07-16 19:39:22 | INFO     | SAPIncidentRAG | Gemini Embedding Model Initialized Successfully.
2026-07-16 19:39:22 | INFO     | SAPIncidentRAG | Loading Excel dataset...
2026-07-16 19:39:23 | INFO     | SAPIncidentRAG | Dataset loaded successfully (250 rows).
2026-07-16 19:39:23 | INFO     | SAPIncidentRAG | Dataset schema validated.
2026-07-16 19:39:23 | INFO     | SAPIncidentRAG | Starting data cleaning...
2026-07-16 19:39:23 | INFO     | SAPIncidentRAG | Data cleaning completed.
2026-07-16 19:39:23 | INFO     | SAPIncidentRAG | Building LangChain Documents...
2026-07-16 19:39:23 | INFO     | SAPIncidentRAG | 250 Documents Created
2026-07-16 19:39:23 | INFO     | SAPIncidentRAG | Starting document chunking...
2026-07-16 19:39:23 | INFO     | SAPIncidentRAG | Chunking completed. 250 chunks created.
2026-07-16 19:39:23 | INFO     | SAPIncidentRAG | Creating Chroma Vector Store...
2026-07-16 19:39:26 | INFO     | SAPIncidentRAG | Batch 1/25 completed.
2026-07-16 19:39:28 | INFO     | SAPIncidentRAG | Batch 11-20 inserted successfully.
2026-07-16 19:39:30 | INFO     | SAPIncidentRAG | Batch 21-30 inserted successfully.
2026-07-16 19:39:32 | INFO     | SAPIncidentRAG | Batch 31-40 inserted successfully.
2026-07-16 19:39:34 | INFO     | SAPIncidentRAG | Batch 41-50 inserted successfully.
2026-07-16 19:39:36 | INFO     | SAPIncidentRAG | Batch 51-60 inserted successfully.
2026-07-16 19:39:38 | INFO     | SAPIncidentRAG | Batch 61-70 inserted successfully.
2026-07-16 19:39:40 | INFO     | SAPIncidentRAG | Batch 71-80 inserted successfully.
2026-07-16 19:39:42 | INFO     | SAPIncidentRAG | Batch 81-90 inserted successfully.
2026-07-16 19:39:44 | INFO     | SAPIncidentRAG | Batch 91-100 inserted successfully.
2026-07-16 19:39:44 | WARNING  | SAPIncidentRAG | Gemini quota exceeded. Retry 1/10 after 25 seconds...
2026-07-16 19:40:10 | WARNING  | SAPIncidentRAG | Gemini quota exceeded. Retry 2/10 after 25 seconds...
2026-07-16 19:40:37 | INFO     | SAPIncidentRAG | Batch 101-110 inserted successfully.
2026-07-16 19:40:39 | INFO     | SAPIncidentRAG | Batch 111-120 inserted successfully.
2026-07-16 19:40:41 | INFO     | SAPIncidentRAG | Batch 121-130 inserted successfully.
2026-07-16 19:40:43 | INFO     | SAPIncidentRAG | Batch 131-140 inserted successfully.
2026-07-16 19:40:46 | INFO     | SAPIncidentRAG | Batch 141-150 inserted successfully.
2026-07-16 19:40:48 | INFO     | SAPIncidentRAG | Batch 151-160 inserted successfully.
2026-07-16 19:40:49 | INFO     | SAPIncidentRAG | Batch 161-170 inserted successfully.
2026-07-16 19:40:51 | INFO     | SAPIncidentRAG | Batch 171-180 inserted successfully.
2026-07-16 19:40:53 | INFO     | SAPIncidentRAG | Batch 181-190 inserted successfully.
2026-07-16 19:40:55 | INFO     | SAPIncidentRAG | Batch 191-200 inserted successfully.
2026-07-16 19:40:56 | WARNING  | SAPIncidentRAG | Gemini quota exceeded. Retry 1/10 after 25 seconds...
2026-07-16 19:41:21 | WARNING  | SAPIncidentRAG | Gemini quota exceeded. Retry 2/10 after 25 seconds...
2026-07-16 19:41:48 | INFO     | SAPIncidentRAG | Batch 201-210 inserted successfully.
2026-07-16 19:41:50 | INFO     | SAPIncidentRAG | Batch 211-220 inserted successfully.
2026-07-16 19:41:52 | INFO     | SAPIncidentRAG | Batch 221-230 inserted successfully.
